"name","category","location","price","discounted_price","currency","description"
"Luxury Beachfront Resort","Hotel","Maldives","1000.00","","USD","Experience ultimate luxury in a beachfront resort with private villas and personalized service."
"City Center Boutique Hotel","Hotel","Paris","250.00","","EUR","Charming boutique hotel located in the heart of Paris, offering stylish rooms and modern amenities."
"Mountain Cabin Retreat","Cabin","Swiss Alps","300.00","","CHF","Escape to a cozy cabin nestled in the Swiss Alps, surrounded by breathtaking mountain views."
"Luxury Safari Lodge","Lodge","Serengeti National Park","1500.00","1400.00","USD","Embark on an unforgettable safari adventure in a luxury lodge overlooking the vast Serengeti plains."
"Private Island Villa","Villa","Bahamas","5000.00","","USD","Indulge in the ultimate luxury of a private island villa in the crystal-clear waters of the Bahamas."
"Historic Bed and Breakfast","Bed and Breakfast","Rome","150.00","","EUR","Experience the charm of Rome in a historic bed and breakfast located near iconic landmarks."
"Family-Friendly Resort","Resort","Orlando","300.00","","USD","Fun-filled resort in Orlando offering spacious accommodations and exciting amenities for families."
"Mountain Ski Chalet","Chalet","Aspen","800.00","","USD","Cozy ski chalet nestled in the mountains of Aspen, perfect for winter sports enthusiasts."
"Budget Hostel","Hostel","Bangkok","20.00","","USD","Affordable hostel in the vibrant city of Bangkok, offering comfortable dormitory-style accommodations."
"Seaside Boutique Hotel","Hotel","Amalfi Coast","350.00","275.00","EUR","Experience luxury by the sea at this boutique hotel on the stunning Amalfi Coast."
"Rustic Mountain Lodge","Lodge","Rocky Mountains","600.00","","USD","Get back to nature and unwind in a cozy lodge nestled in the breathtaking Rocky Mountains."
"Tropical Beach Bungalow","Bungalow","Hawaii","450.00","","USD","Escape to paradise and relax in a charming beach bungalow on the beautiful islands of Hawaii."
"Riverside Cabin Retreat","Cabin","Canadian Rockies","250.00","","CAD","Find peace and tranquility in a secluded cabin retreat along the stunning riverside of the Canadian Rockies."
"Urban Loft Apartment","Apartment","New York City","200.00","","USD","Live like a local in a stylish loft apartment in the heart of bustling New York City."
"Beachfront Condo","Condo","Miami","300.00","","USD","Wake up to breathtaking ocean views in a luxurious beachfront condo in vibrant Miami."
"Charming Countryside Cottage","Cottage","Cotswolds","150.00","","GBP","Escape the hustle and bustle and unwind in a charming countryside cottage in the picturesque Cotswolds."
"Historic Manor House","Manor House","Scotland","1000.00","950.00","GBP","Step back in time and experience the grandeur of a historic manor house in the stunning Scottish countryside."
"Luxury Ski Resort","Resort","Whistler","1200.00","","CAD","Indulge in world-class skiing and luxurious amenities at a top-rated ski resort in breathtaking Whistler."
"Rooftop Penthouse Suite","Suite","Sydney","1500.00","","AUD","Enjoy panoramic views of the iconic Sydney skyline from a lavish rooftop penthouse suite."
"Coastal Beach House","House","California","800.00","","USD","Escape to a coastal paradise and relax in a spacious beach house along the stunning California coastline."
"Quaint Lakeside Cabin","Cabin","Lake District","200.00","","GBP","Experience the beauty of the Lake District in a quaint lakeside cabin surrounded by nature's tranquility."
"Rustic Farmhouse Retreat","Farmhouse","Tuscany","400.00","","EUR","Immerse yourself in the charm of the Tuscan countryside in a rustic farmhouse retreat."
"Luxury Spa Resort","Resort","Bali","1800.00","","USD","Rejuvenate your body and soul at a luxurious spa resort nestled in the serene landscapes of Bali."
"Historic Castle Hotel","Hotel","Scotland","1500.00","1250.00","GBP","Live like royalty in a historic castle hotel set amidst the breathtaking landscapes of Scotland."
"Safari Tent Experience","Tent","Kruger National Park","300.00","200.00","ZAR","Embark on an unforgettable safari adventure and sleep under the stars in a luxury safari tent."
"Tropical Paradise Resort","Resort","Maldives","2000.00","","USD","Experience ultimate luxury in a tropical paradise resort surrounded by pristine beaches and crystal-clear waters."
"Alpine Retreat Chalet","Chalet","Swiss Alps","1500.00","","EUR","Escape to an alpine retreat chalet nestled in the breathtaking Swiss Alps, offering stunning mountain views and cozy accommodations."
"Oceanfront Villa","Villa","Maui","3000.00","2700.00","USD","Indulge in the ultimate luxury of an oceanfront villa with panoramic views of the Pacific Ocean and private beach access."
"Rustic Countryside Cottage","Cottage","Cotswolds","800.00","","GBP","Unwind in a rustic countryside cottage surrounded by rolling hills and quaint villages of the Cotswolds."
"Historic Castle Hotel","Hotel","Ireland","2500.00","","EUR","Live like royalty in a historic castle hotel set amidst the lush green landscapes of Ireland, with elegant interiors and impeccable service."
"Beachfront Bungalow","Bungalow","Phuket","4000.00","3800.00","THB","Relax in a beachfront bungalow overlooking the azure waters of the Andaman Sea, with direct beach access and personalized service."
"City Center Loft","Apartment","San Francisco","1800.00","","USD","Experience urban living in a chic city center loft apartment, with modern amenities and panoramic city views."
"Mountain Hideaway Cabin","Cabin","Rocky Mountains","1000.00","","USD","Find solace in a mountain hideaway cabin nestled among towering pines and rugged peaks of the Rocky Mountains."
"Desert Oasis Resort","Resort","Dubai","3500.00","","AED","Escape to a luxurious desert oasis resort and experience Arabian hospitality amidst the golden sands and lush gardens of Dubai."
"Lakeside Lodge","Lodge","Lake District","1200.00","","GBP","Enjoy serene lakeside views and cozy accommodations in a charming lodge nestled in the heart of the Lake District."
"Luxury Riverside Retreat","Resort","Provence","2800.00","","EUR","Experience luxurious riverside living in a serene retreat nestled in the heart of Provence."
"Alpine Ski Chalet","Chalet","French Alps","1800.00","","EUR","Embrace winter wonderland in an alpine ski chalet surrounded by snow-capped peaks and pristine slopes."
"Seaside Mansion","Villa","Amalfi Coast","5000.00","4500.00","EUR","Indulge in opulence at a seaside mansion overlooking the stunning coastline of the Amalfi Coast."
"Cozy Forest Cabin","Cabin","Black Forest","600.00","","EUR","Find tranquility in a cozy forest cabin amidst the enchanting landscapes of the Black Forest."
"Historic City Hotel","Hotel","Vienna","2200.00","","EUR","Immerse yourself in history at a luxurious city hotel located in the cultural heart of Vienna."
"Tropical Island Resort","Resort","Fiji","3500.00","","USD","Escape to paradise at a tropical island resort surrounded by turquoise waters and swaying palm trees."
"Downtown Penthouse","Apartment","Manhattan","4000.00","3600.00","USD","Live in luxury high above the bustling streets of Manhattan in a sleek downtown penthouse."
"Lakeside Log Cabin","Cabin","Lake Tahoe","1500.00","","USD","Experience rustic charm and lakeside tranquility in a cozy log cabin nestled on the shores of Lake Tahoe."
"Desert Glamping Experience","Tent","Sahara Desert","1200.00","","USD","Spend a night under the stars in a luxurious desert tent, where comfort meets adventure in the Sahara Desert."
"Mountain View Lodge","Lodge","Swiss Alps","2000.00","1800.00","CHF","Enjoy panoramic mountain views and alpine hospitality in a cozy lodge nestled in the Swiss Alps."
"Rooftop Retreat","Suite","Sydney","3000.00","","AUD","Escape to a rooftop retreat with stunning views of the Sydney skyline and harbor, offering luxury and relaxation."
"Beachfront Resort & Spa","Resort","Phuket","4200.00","3800.00","THB","Indulge in ultimate relaxation at a beachfront resort and spa, where sun, sand, and serenity await."
"City Center Loft","Apartment","Berlin","2600.00","","EUR","Experience modern urban living in a stylish loft apartment located in the vibrant city center of Berlin."
"Mountain Retreat","Chalet","Rocky Mountains","1400.00","","USD","Find solace and adventure in a secluded mountain retreat nestled among the majestic peaks of the Rocky Mountains."
"Tropical Paradise Villa","Villa","Costa Rica","4800.00","","USD","Discover your own slice of paradise in a luxurious tropical villa surrounded by lush rainforests and pristine beaches."
"Rustic Farmhouse","Farmhouse","Tuscany","3200.00","","EUR","Experience the charm of rural Italy in a rustic farmhouse surrounded by vineyards and olive groves in Tuscany."
"Urban Boutique Hotel","Hotel","Tokyo","3000.00","","JPY","Immerse yourself in contemporary Japanese culture at an urban boutique hotel located in the heart of Tokyo."
"Coastal Cottage","Cottage","Cape Cod","2200.00","","USD","Escape to the coast and unwind in a charming cottage overlooking the sandy shores of Cape Cod."
"Mountain View Resort","Resort","Banff","3800.00","","CAD","Experience mountain luxury at a picturesque resort nestled in the heart of Banff National Park."
"City Skyline Penthouse","Suite","Dubai","7000.00","6300.00","AED","Live in the lap of luxury high above the dazzling city skyline of Dubai in a lavish penthouse."
"Beachfront Cabana","Bungalow","Bali","2500.00","","USD","Savor the sun, sand, and sea in a beachfront cabana surrounded by tropical gardens and panoramic ocean views."
"Lakefront Lodge","Lodge","Lake District","1600.00","","GBP","Discover lakeside serenity in a charming lodge nestled amidst the natural beauty of the Lake District."
"Ski-in/Ski-out Chalet","Chalet","Whistler","4500.00","","CAD","Hit the slopes and relax in luxury at a ski-in/ski-out chalet in the world-renowned Whistler Blackcomb resort."
"Vineyard Estate","Estate","Napa Valley","6000.00","5400.00","USD","Experience wine country living at its finest in a luxurious vineyard estate nestled in the heart of Napa Valley."
"Riverside Retreat","Resort","Amazon Rainforest","2800.00","","BRL","Immerse yourself in the wonders of the Amazon Rainforest at a riverside retreat offering eco-friendly luxury and adventure."
"Historic Manor House","Manor House","Cotswolds","5000.00","","GBP","Step back in time and experience the grandeur of a historic manor house nestled amidst the rolling hills of the Cotswolds."
"Downtown Boutique Hotel","Hotel","San Diego","3200.00","","USD","Discover urban chic and coastal charm at a boutique hotel located in the heart of downtown San Diego."
"Safari Tent Camp","Tent","Kruger National Park","1800.00","1620.00","ZAR","Embark on a safari adventure and sleep under the stars in a luxury tent camp surrounded by the untamed wilderness of Kruger National Park."
"Treetop Villa","Villa","Costa Rica","4200.00","","USD","Escape to a secluded treetop villa nestled high above the rainforest canopy, offering breathtaking views and unparalleled privacy."
"Mountain View Cabin","Cabin","Yellowstone National Park","2500.00","2250.00","USD","Experience the wonders of Yellowstone National Park in a cozy mountain view cabin, where adventure awaits just outside your door."
"Beachfront Paradise Resort","Resort","Maldives","5000.00","4500.00","USD","Indulge in luxury at a beachfront paradise resort in the Maldives, where crystal-clear waters and white sandy beaches beckon."
"Coastal Hideaway","Cottage","Carmel-by-the-Sea","2800.00","","USD","Escape to a coastal hideaway nestled along the rugged coastline of Carmel-by-the-Sea, where quaint charm meets seaside serenity."
"Mountain Chalet Retreat","Chalet","Slovenian Alps","2200.00","","EUR","Find peace and tranquility in a mountain chalet retreat surrounded by the breathtaking beauty of the Slovenian Alps."
"Urban Oasis","Apartment","Sydney","3500.00","3150.00","AUD","Discover your urban oasis in a stylish apartment located in the heart of Sydney, offering modern luxury and breathtaking city views."
"Tropical Jungle Villa","Villa","Costa Rica","6000.00","","USD","Immerse yourself in the lush jungle surroundings of Costa Rica in a luxurious villa, where exotic wildlife and natural beauty await."
"Ski Lodge Escape","Lodge","Lake Tahoe","2800.00","","USD","Escape to a cozy ski lodge nestled amidst the snow-covered peaks of Lake Tahoe, offering warm hospitality and alpine adventures."
"Desert Retreat","Resort","Arizona","4000.00","3600.00","USD","Experience desert luxury at a tranquil retreat in Arizona, where breathtaking sunsets and star-filled skies await."
"City Center Penthouse","Suite","Barcelona","4500.00","","EUR","Live in luxury high above the vibrant streets of Barcelona in a stunning city center penthouse boasting panoramic views and modern elegance."
"Lakeside Cabin Hideaway","Cabin","Lake District","2000.00","","GBP","Escape to a secluded lakeside cabin hideaway in the picturesque Lake District, where peace and tranquility reign supreme."
"Mountain View Resort & Spa","Resort","Whistler","5500.00","","CAD","Indulge in mountain luxury at a premier resort and spa in Whistler, where adventure and relaxation harmonize amidst breathtaking scenery."
"Urban Boutique Retreat","Hotel","Paris","3200.00","","EUR","Discover urban sophistication and chic elegance at a boutique retreat nestled in the heart of Paris."
"Beachfront Paradise Villa","Villa","Bora Bora","6000.00","5400.00","USD","Experience pure bliss in a beachfront paradise villa on the stunning island of Bora Bora, where azure waters and white sand beaches await."
"Ski Chalet Hideaway","Chalet","Aspen","4000.00","","USD","Escape to a cozy ski chalet hideaway nestled among the snow-capped peaks of Aspen, offering unparalleled luxury and mountain adventure."
"Tropical Rainforest Retreat","Resort","Costa Rica","4500.00","","USD","Immerse yourself in the lush beauty of the tropical rainforest at a secluded retreat in Costa Rica, where eco-luxury meets natural wonder."
"Seaside Cottage","Cottage","Cape Cod","2800.00","","USD","Relax and unwind in a charming seaside cottage overlooking the picturesque shores of Cape Cod, where coastal charm and tranquility await."
"Mountain View Chalet","Chalet","Swiss Alps","3200.00","2880.00","CHF","Enjoy breathtaking mountain views and alpine luxury in a cozy chalet nestled in the Swiss Alps."
"Luxury Island Resort","Resort","Seychelles","7000.00","6300.00","USD","Experience unparalleled luxury and natural beauty at a lavish island resort in the Seychelles, where paradise awaits at every turn."
"Riverside Log Cabin","Cabin","Yellowstone National Park","1800.00","","USD","Experience rustic charm and natural beauty in a riverside log cabin nestled amidst the towering trees of Yellowstone National Park."
"City Center Boutique Apartment","Apartment","London","3800.00","3420.00","GBP","Live in style in a boutique apartment located in the heart of London's vibrant city center, offering modern luxury and cosmopolitan charm."
"Beachfront Hideaway","Bungalow","Maldives","4200.00","","USD","Escape to a secluded beachfront hideaway in the Maldives, where endless stretches of pristine white sand and turquoise waters await."
"Mountain Lodge Retreat","Lodge","Banff","3200.00","","CAD","Discover mountain serenity at a cozy lodge retreat nestled amidst the breathtaking beauty of Banff National Park."
"Urban Loft Escape","Apartment","New York City","5000.00","","USD","Experience loft living at its finest in the heart of New York City, where urban luxury meets downtown chic."
"Riverside Chalet","Chalet","Austria","3500.00","","EUR","Unwind in a charming riverside chalet nestled in the picturesque countryside of Austria, where tranquility and natural beauty abound."
"Beachfront Retreat","Resort","Maui","5500.00","","USD","Discover the ultimate beachfront retreat on the pristine shores of Maui, where luxury and relaxation come together in paradise."
"Tropical Paradise Bungalow","Bungalow","Fiji","4800.00","","USD","Escape to a tropical paradise bungalow in Fiji, where palm-fringed beaches and crystal-clear waters await at every turn."
"Mountain View Cabin Retreat","Cabin","Rocky Mountains","2500.00","","USD","Find peace and tranquility in a mountain view cabin retreat nestled amidst the rugged beauty of the Rocky Mountains."
"Desert Oasis Villa","Villa","Arizona","6000.00","","USD","Experience desert luxury at a secluded oasis villa in Arizona, where sprawling desert landscapes and star-filled skies create an unforgettable backdrop."
"Urban Chic Hotel","Hotel","Berlin","3000.00","","EUR","Immerse yourself in contemporary style and sophistication at an urban chic hotel in the heart of Berlin, where modern luxury meets historic charm."
"Ski-in/Ski-out Mountain Chalet","Chalet","Whistler","4800.00","","CAD","Hit the slopes and relax in luxury at a ski-in/ski-out mountain chalet in Whistler, where world-class skiing and alpine adventure await."
"Beachfront Paradise Retreat","Resort","Bali","5800.00","","USD","Escape to a beachfront paradise retreat in Bali, where pristine beaches, lush jungles, and serene waters create the perfect backdrop for relaxation and rejuvenation."
"City Skyline View Penthouse","Suite","Sydney","6500.00","5850.00","AUD","Experience the best of Sydney from a city skyline view penthouse, where panoramic vistas and luxurious amenities await."
"Lakeside Log Cabin Retreat","Cabin","Lake Tahoe","2200.00","","USD","Find serenity in a lakeside log cabin retreat nestled on the shores of Lake Tahoe, where breathtaking views and outdoor adventures abound."
"Mountain View Resort & Spa","Resort","Rocky Mountains","5000.00","4500.00","USD","Indulge in luxury and relaxation at a mountain view resort and spa in the heart of the Rocky Mountains."
"Coastal Villa Escape","Villa","Amalfi Coast","7000.00","","EUR","Escape to a coastal villa retreat along the stunning Amalfi Coast, where luxury and tranquility await amidst breathtaking views of the Mediterranean Sea."
"Riverside Cottage","Cottage","Lake District","3200.00","","GBP","Experience idyllic countryside living in a riverside cottage nestled amidst the natural beauty of the Lake District."